[0.0, 0.0]
[-2.0943951023931953, -2.6179938779914944]
[2.0943951023931957, 1.0471975511965976]
[6.123031769111886e-17, -1.5707963267948968]
[-2.0943951023931957, 2.0943951023931957]
[2.0943951023931957, -0.5235987755982989]
[1.1102230246251565e-16, 3.141592653589793]
[-2.0943951023931953, 0.5235987755982988]
[2.0943951023931957, -2.0943951023931957]
[1.1102230246251565e-16, 1.5707963267948966]
[-2.0943951023931953, -1.0471975511965979]
[2.0943951023931957, 2.6179938779914944]
